2019/06/11 04:29:19 CMD: UID=0    PID=2104   | sh -c /usr/bin/env -i PATH=/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin run-parts --lsbsysinit /etc/update-motd.d > /run/motd.dynamic.new 
2019/06/11 04:29:19 FS:                 OPEN | /var/log/auth.log
2019/06/11 04:29:19 FS:               ACCESS | /var/log/auth.log
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /var/log/auth.log
2019/06/11 04:29:19 FS:                 OPEN | /etc/passwd
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/passwd
2019/06/11 04:29:19 FS:                 OPEN | /etc/passwd
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/passwd
2019/06/11 04:29:19 FS:                 OPEN | /etc/ld.so.cache
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/ld.so.cache
2019/06/11 04:29:19 FS:                 OPEN | /usr/bin/env
2019/06/11 04:29:19 FS:               ACCESS | /usr/bin/env
2019/06/11 04:29:19 FS:                 OPEN | /etc/ld.so.cache
2019/06/11 04:29:19 CMD: UID=0    PID=2105   | run-parts --lsbsysinit /etc/update-motd.d 
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/ld.so.cache
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /usr/bin/env
2019/06/11 04:29:19 FS:                 OPEN | /etc/ld.so.cache
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/ld.so.cache
2019/06/11 04:29:19 FS:             OPEN DIR | /etc/update-motd.d
2019/06/11 04:29:19 FS:             OPEN DIR | /etc/update-motd.d/
2019/06/11 04:29:19 FS:           ACCESS DIR | /etc/update-motd.d
2019/06/11 04:29:19 FS:           ACCESS DIR | /etc/update-motd.d/
2019/06/11 04:29:19 FS:           ACCESS DIR | /etc/update-motd.d
2019/06/11 04:29:19 FS:           ACCESS DIR | /etc/update-motd.d/
2019/06/11 04:29:19 CMD: UID=0    PID=2106   | /bin/sh /etc/update-motd.d/10-uname 
2019/06/11 04:29:19 FS:    CLOSE_NOWRITE DIR | /etc/update-motd.d
2019/06/11 04:29:19 FS:    CLOSE_NOWRITE DIR | /etc/update-motd.d/
2019/06/11 04:29:19 FS:                 OPEN | /etc/update-motd.d/10-uname
2019/06/11 04:29:19 FS:               ACCESS | /etc/update-motd.d/10-uname
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/update-motd.d/10-uname
2019/06/11 04:29:19 FS:                 OPEN | /etc/ld.so.cache
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/ld.so.cache
2019/06/11 04:29:19 FS:                 OPEN | /etc/update-motd.d/10-uname
2019/06/11 04:29:19 FS:               ACCESS | /etc/update-motd.d/10-uname
2019/06/11 04:29:19 CMD: UID=0    PID=2107   | sshd: jkr [priv]  
2019/06/11 04:29:19 FS:                 OPEN | /etc/ld.so.cache
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/ld.so.cache
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/update-motd.d/10-uname
2019/06/11 04:29:19 FS:                 OPEN | /etc/motd
2019/06/11 04:29:19 FS:               ACCESS | /etc/motd
2019/06/11 04:29:19 FS:        CLOSE_NOWRITE | /etc/motd
2019/06/11 04:29:19 FS:                 OPEN | /etc/passwd
